worker_id,platform,tenure_months,avg_rating,completion_rate,cancellation_rate,jobs_completed,tenure_normalized,cancellation_reliability,jobs_completed_log,average_monthly_jobs,income_mean,income_volatility,income_consistency,income_trend,income_trend_normalized,recent_income_change,work_volume_trend,work_volume_trend_normalized
W00001,Home Services,12,4.22,0.714,0.35,661,0.2,0.65,6.495265555937008,58.0,20501.333333333332,0.15218833785054686,0.8679136623319238,290.2587412587413,0.014158042139962017,0.19095791393636427,-1.328671328671329,-0.022908126356402225
W00002,Ride-Hailing,41,4.64,0.821,0.181,2636,0.6833333333333333,0.819,7.877397186353287,68.91666666666667,19248.333333333332,0.1805806211122904,0.8470408391574686,-201.60139860139833,-0.010473706741781887,-0.013999703884054037,-1.7517482517482532,-0.02541835431799158
W00003,Freelance,29,4.51,0.78,0.051,2836,0.48333333333333334,0.949,7.950502434808851,92.75,13661.25,0.2498305006187838,0.8001084943157539,82.63986013985999,0.006049216589979686,-0.058770255054584664,0.08041958041958046,0.0008670574708310562
W00004,Home Services,25,4.55,0.844,0.163,1979,0.4166666666666667,0.837,7.590852123688581,69.58333333333333,42349.25,0.07174179365036445,0.9330605617179386,498.56993006992957,0.011772816049160955,0.10347059823111973,0.4230769230769237,0.006080147397512676
W00005,Delivery,31,4.31,0.932,0.257,2826,0.5166666666666667,0.743,7.946971357693591,84.58333333333333,14546.25,0.1796384670356252,0.8477173540406425,359.84965034965035,0.024738310585178336,0.36590698631546453,-1.6118881118881097,-0.01905680526370179
W00006,Freelance,12,4.59,0.961,0.114,968,0.2,0.886,6.876264611890766,77.66666666666667,20288.25,0.16550300660588793,0.857998644647124,-175.51398601398722,-0.008651016525032333,-0.03932974615024151,1.699300699300699,0.02187940814550256
W00007,Home Services,19,4.19,0.628,0.221,739,0.31666666666666665,0.779,6.606650186198215,43.0,18543.5,0.131897110048964,0.8834725268949062,60.685314685315326,0.0032725922660401395,0.008482044503194536,0.16083916083916036,0.003740445600910706
W00008,Home Services,14,4.53,0.835,0.127,738,0.23333333333333334,0.873,6.6052979209482015,52.833333333333336,20377.75,0.1364971668538065,0.8798966061378974,-317.9335664335667,-0.01560199562923123,-0.1482510044906641,-0.468531468531468,-0.00886810350532747
W00009,Delivery,24,4.76,0.914,0.35,595,0.4,0.65,6.39024066706535,27.666666666666668,28370.333333333332,0.15183098598040656,0.8681829297627618,-298.7622377622383,-0.010530797585349897,-0.12962962962962962,0.42657342657342556,0.015418316623135864
W00010,Ride-Hailing,24,4.46,0.7,0.178,1153,0.4,0.8220000000000001,7.050989447068045,52.666666666666664,19063.333333333332,0.16077272150889152,0.8614950898398934,-143.10489510489526,-0.007506813871562963,-0.03546383839793468,0.328671328671329,0.006240594848189791
W00011,Delivery,30,4.66,0.954,0.154,1182,0.5,0.846,7.075808863978387,45.5,32892.583333333336,0.13057253631240326,0.8845075993635113,823.4370629370628,0.025034125614043574,0.2822756294572294,0.027972027972027913,0.000614769845539075
W00012,Freelance,32,4.06,0.608,0.114,1555,0.5333333333333333,0.886,7.349873704738337,45.25,20700.0,0.3117770519191339,0.7623246637353481,-549.587412587413,-0.026550116550116572,-0.14426825239511062,0.40909090909090884,0.00904068307383224
W00013,Ride-Hailing,12,4.04,0.987,0.011,675,0.2,0.989,6.516193076042964,51.75,23122.0,0.14643508538383476,0.8722691871081325,58.65734265734248,0.0025368628430647213,-0.03094285604734091,-0.8986013986013988,-0.017364278233843455
W00014,Home Services,19,4.63,0.892,0.153,895,0.31666666666666665,0.847,6.79794041297493,41.083333333333336,30140.833333333332,0.18700918991382176,0.8424534607626762,-701.5454545454552,-0.023275582555629025,-0.20587935554999673,1.0734265734265733,0.02612803018482531
W00015,Ride-Hailing,22,4.81,0.916,0.35,791,0.36666666666666664,0.65,6.674561391814426,34.083333333333336,25420.0,0.4016891269844375,0.7134249533285442,-1889.7272727272734,-0.07434017595307921,-0.5793603790346461,-0.6468531468531464,-0.018978576435789134
W00016,Delivery,12,4.49,0.929,0.136,913,0.2,0.864,6.81783057145415,70.75,22793.166666666668,0.30030156093662225,0.7690523721894854,521.6223776223773,0.022885033275574285,0.3083918654824791,-0.8356643356643375,-0.011811510044725618
W00017,Ride-Hailing,12,5.0,0.724,0.245,512,0.2,0.755,6.240275845170769,46.666666666666664,34428.583333333336,0.06378773671093448,0.9400371573109536,254.1013986013982,0.007380535996535771,0.05791709389189981,0.13986013986014068,0.0029970029970030148
W00018,Delivery,12,4.19,0.959,0.268,660,0.2,0.732,6.493753839851686,50.583333333333336,15090.416666666666,0.13281596259855538,0.8827559224237181,277.2202797202794,0.01837061797853689,0.19423422511326535,-0.18531468531468778,-0.0036635522632228225
W00019,Home Services,12,4.38,0.88,0.098,960,0.2,0.902,6.8679744089702925,79.66666666666667,22652.166666666668,0.23767717977137298,0.8079651272108956,367.39860139860133,0.016219137303948906,0.09059556738209446,-0.16083916083916092,-0.0020189016004915593
W00020,Ride-Hailing,35,4.59,0.632,0.065,1302,0.5833333333333334,0.935,7.172424577124845,40.083333333333336,51127.583333333336,0.2787787162332307,0.7819961243533979,2484.8006993007,0.048600002920159535,0.44059682180259585,0.5699300699300703,0.014218629603244997
W00021,Home Services,12,4.67,0.82,0.062,835,0.2,0.938,6.728628613084702,66.91666666666667,18760.166666666668,0.2793643034208483,0.7816381911908394,50.58741258741193,0.002696533217761672,0.0036086395075268433,-0.4230769230769214,-0.006322444678609037
W00022,Delivery,12,4.4,0.895,0.299,346,0.2,0.7010000000000001,5.849324779946859,30.5,31666.416666666668,0.1583824202885758,0.8632727694114007,-325.38811188811223,-0.01027549518195498,-0.0921476316315428,0.643356643356642,0.021093660437922688
W00023,Freelance,23,4.29,0.841,0.142,1358,0.38333333333333336,0.858,7.214504414151143,56.166666666666664,16747.5,0.21814660229710106,0.8209192539832771,-36.02797202797133,-0.002151244784473583,0.02722740082375902,1.818181818181818,0.03237118964121931
W00024,Freelance,28,4.71,0.842,0.046,2006,0.4666666666666667,0.954,7.604396348796338,67.33333333333333,23528.25,0.11903140368810206,0.8936299702619617,284.48601398601386,0.012091252600002714,0.05882107488594642,0.01398601398601312,0.00020771307900019486
W00025,Home Services,21,4.58,0.861,0.35,908,0.35,0.65,6.812345094177479,43.583333333333336,17417.75,0.1364535069560386,0.8799304097168692,-437.4440559440566,-0.025114842958709166,-0.16331407073497275,-1.15034965034965,-0.026394255839762522
W00026,Delivery,12,4.46,0.771,0.102,832,0.2,0.898,6.725033642166843,72.58333333333333,34288.5,0.21545330301993673,0.8227383129531857,517.5594405594413,0.015094257274580145,0.08583708940317718,0.9895104895104885,0.013632750716562414
W00027,Ride-Hailing,12,4.67,0.934,0.07,894,0.2,0.9299999999999999,6.796823718274855,67.75,27066.0,0.11217785620330187,0.8991367652416232,648.3566433566424,0.023954653194289605,0.2024333019570379,0.548951048951049,0.008102598508502567
W00028,Delivery,23,4.52,0.918,0.089,1446,0.38333333333333336,0.911,7.277247726631484,58.916666666666664,10691.333333333334,0.08482667531903748,0.9218062412651398,-56.36363636363677,-0.00527189964117074,-0.06896440754328383,0.8216783216783221,0.013946449590013954
W00029,Delivery,20,4.52,0.631,0.303,1574,0.3333333333333333,0.6970000000000001,7.362010551259734,74.91666666666667,25908.0,0.32334766322041214,0.7556593235419825,315.2797202797211,0.012169203345673967,0.14728161980100926,0.8496503496503495,0.011341272742830026
W00030,Home Services,17,4.51,0.832,0.35,1232,0.2833333333333333,0.65,7.117205503164344,71.83333333333333,22067.916666666668,0.2662526582720845,0.789731807050727,344.99650349650375,0.015633397058165303,0.18236037308163933,0.07692307692307439,0.0010708548991611284
W00031,Home Services,34,4.34,0.635,0.169,2013,0.5666666666666667,0.831,7.607878073278507,50.666666666666664,24682.333333333332,0.35154007926531355,0.7398966670256586,564.727272727273,0.02287981711861141,0.020805524926005455,0.6853146853146848,0.013525947736474041
W00032,Freelance,19,4.32,0.904,0.091,562,0.31666666666666665,0.909,6.333279628139691,28.833333333333332,41343.0,0.22831372339933748,0.8141242590960531,-2031.93006993007,-0.04914810415136952,-0.29023322733109674,0.20279720279720306,0.007033428998746928
W00033,Delivery,12,4.42,0.844,0.334,1059,0.2,0.6659999999999999,6.966024187106113,86.58333333333333,17671.916666666668,0.1270332929945306,0.887285234798164,24.241258741258598,0.001371739081759209,0.034721847029373164,1.6888111888111874,0.01950503779185202
W00034,Delivery,17,4.56,0.713,0.243,675,0.2833333333333333,0.757,6.516193076042964,47.0,25499.0,0.11611010241321355,0.8959689530968634,-650.489510489511,-0.025510392975783794,-0.1983118071799044,0.29370629370629225,0.006249070078857282
